733.70000	-0.333	0.027	-9.099	0.715
733.70013	-0.229	0.020	-6.338	0.565
733.69902	-0.335	0.024	-8.631	0.666
733.69790	-0.216	0.018	-5.522	0.514
733.69707	-0.223	0.027	-6.071	0.671
733.69596	-0.174	0.014	-4.404	0.364
733.69512	-0.087	0.014	-2.186	0.391
733.69401	-0.098	0.017	-2.662	0.482
733.69290	-0.038	0.030	-1.034	0.755
733.69206	-0.301	0.046	-8.336	1.228
733.69095	-0.144	0.034	-4.096	0.893
733.69012	-0.417	0.026	-10.776	0.708
733.68901	-0.077	0.024	-2.302	0.651
733.68789	-0.094	0.017	-3.100	0.466
733.68706	-0.055	0.009	-1.096	0.222
733.68595	-0.625	0.065	-16.383	1.706
733.68511	-0.192	0.016	-4.042	0.456
733.68400	-0.100	0.027	-4.178	0.742
733.68289	-0.196	0.023	-5.024	0.608
733.68205	-0.116	0.010	-2.265	0.254
733.68094	-0.113	0.016	-2.119	0.404
733.68011	-0.177	0.010	-4.609	0.308
733.67900	-0.259	0.022	-7.022	0.612
733.67788	-0.246	0.034	-6.804	0.873
733.67705	-0.057	0.015	-2.411	0.421
733.67594	-0.396	0.031	-11.059	0.797
733.67510	-0.212	0.034	-6.285	0.898
733.67399	-0.225	0.020	-6.222	0.521
733.67288	-0.070	0.011	-2.634	0.316
733.67205	-0.178	0.016	-4.339	0.412
733.67093	-0.140	0.013	-3.756	0.305
733.67010	-0.152	0.010	-3.390	0.283
733.66899	-0.133	0.014	-3.156	0.387
733.66787	-0.320	0.031	-8.271	0.834
733.66704	-0.190	0.023	-4.146	0.570
733.66593	-0.244	0.039	-6.354	1.094
733.66509	-0.168	0.013	-4.195	0.332
733.66398	-0.143	0.013	-3.506	0.326
733.66287	-0.157	0.018	-3.857	0.489
733.66204	-0.141	0.027	-3.113	0.714
733.66092	-0.199	0.022	-5.258	0.548
733.66009	-0.083	0.018	-1.917	0.514
733.65898	-0.241	0.025	-6.771	0.647
733.65786	-0.225	0.021	-6.796	0.546
733.65703	-0.216	0.040	-6.011	1.047
733.65592	-0.110	0.012	-2.434	0.317
733.65508	-0.193	0.018	-4.451	0.512
733.65397	-0.121	0.015	-2.135	0.384
733.65314	-0.216	0.019	-5.604	0.490
733.65203	-0.083	0.011	-1.990	0.315
733.65091	-0.064	0.010	-1.667	0.265
733.65008	-0.103	0.009	-2.657	0.237
733.64897	-0.154	0.012	-3.224	0.334
733.64813	-0.243	0.016	-6.893	0.425
733.64702	-0.066	0.017	-1.573	0.475
733.64591	-0.009	0.025	-0.571	0.672
733.64507	-0.192	0.036	-4.849	0.922
733.64396	-0.219	0.031	-6.061	0.827
733.64313	-0.050	0.012	-1.858	0.297
733.64202	-0.095	0.009	-2.205	0.218
733.64090	-0.140	0.046	-4.676	1.302
733.64007	-0.278	0.018	-6.257	0.501
733.63896	-0.129	0.015	-3.228	0.373
733.63812	-0.146	0.020	-3.096	0.545
733.63701	-0.175	0.020	-5.258	0.585
733.63590	-0.060	0.013	-2.050	0.325
733.63506	-0.577	0.070	-15.501	1.897
733.63395	-0.312	0.028	-7.699	0.750
