WL	Field Signal	WL	Surface Signal	
729	0.740997714285714	733.40008	-0.0867551542857143
729.00497	-0.0817388571428571	733.40509	0.207066765714286
729.00999	-0.990326571428571	733.4101	0.364830834285714
729.01502	-2.107666	733.4151	0.548742217142857
729.02005	-0.962970285714285	733.42011	0.137035657142857
729.02507	-0.541720571428571	733.42511	-0.421281588571429
729.0301	-0.322274571428572	733.43012	-0.680880331428571
729.03512	-0.448124	733.43513	-0.376990034285714
729.03987	1.13657285714286	733.44013	0.0425652457142858
729.0449	0.853936571428571	733.44514	-0.130765017142857
729.04992	-0.123350857142857	733.44987	-0.165369382857143
729.05495	-0.604658	733.45487	-0.197857462857143
729.05997	-0.282637428571428	733.45988	0.30383216
729.065	-0.709847428571428	733.46488	0.693004228571429
729.07003	-1.062456	733.46989	0.24535112
729.07505	-0.542488857142857	733.47489	0.00646039999999998
729.08008	0.432617142857143	733.4799	0.200058594285714
729.0851	0.843429714285714	733.48491	0.573202948571429
729.09013	1.04448342857143	733.48991	0.12544112
729.09488	0.274094571428571	733.49492	-0.30222568
729.0999	-0.0161242857142857	733.49992	-0.0664073371428572
729.10493	-0.292740571428571	733.50493	1.18951845714286
729.10995	1.09256628571429	733.50993	3.28444787428571
729.11498	0.897286285714285	733.51494	4.18819046857143
729.12	0.810037428571428	733.51994	8.11239512
729.12503	-0.546017428571429	733.52495	12.46343792
729.13005	-0.829196857142857	733.52996	21.6699312457143
729.13508	-0.761005714285714	733.53496	39.9999625828571
729.1401	0.510883714285714	733.53997	58.0169520457143
729.14513	0.372503142857143	733.54497	74.8191880914285
729.14988	-0.775036857142857	733.54998	86.5989014857143
729.1549	-1.31897228571429	733.55498	100.610946045714
729.15993	-0.637628857142857	733.55999	96.8131422285714
729.16495	0.128511428571429	733.56499	91.2767877714286
729.16998	0.0419297142857143	733.57	76.5102864114286
729.175	0.402766285714286	733.575	66.0717749942857
729.18003	0.307396857142857	733.58001	49.99776248
729.18505	-0.278677714285714	733.58501	38.7214108914286
729.19008	-0.884006571428571	733.59002	23.1608780685714
729.1951	-0.738222857142857	733.59502	13.9756075657143
729.20013	-0.143578	733.60003	6.94391476571428
729.20488	0.843898571428571	733.60503	3.98788149714286
729.2099	1.25121857142857	733.61004	1.3290044
729.21493	0.956554857142857	733.61504	1.28217505142857
729.21995	0.523618857142857	733.62005	0.869955097142857
729.22498	0.641197142857143	733.62505	0.806383211428571
729.23	0.772351142857143	733.63006	0.578688937142857
729.23503	0.269886571428571	733.63506	0.686357737142857
729.24005	-0.222637714285714	733.64007	0.717066457142857
729.24508	0.147401428571429	733.64507	0.181410011428571
729.2501	1.07636171428571	733.65008	-0.0834765485714287
729.25513	1.50435114285714	733.65508	0.0572122742857142
729.25987	1.68665171428571	733.66009	0.339713462857143
729.2649	2.48582428571429	733.66509	0.114079588571429
729.26992	3.98784285714286	733.6701	0.228727725714286
729.27495	5.59492514285714	733.6751	0.148255382857143
729.27997	6.63960628571428	733.68011	0.123565622857143
729.28499	8.67586	733.68511	0.414406228571429
729.29002	9.72317857142857	733.69012	0.765999782857143
729.29504	10.6342865714286	733.69512	0.384830411428571
729.30007	13.9669968571429	733.70013	0.201623771428571
729.30509	18.31233	733.70513	0.480422994285714
729.31012	20.8728208571429	733.71014	0.677125382857143
729.31486	22.0863262857143	733.71486	0.573677394285714
729.31989	26.4923022857143	733.71987	0.435165782857143
729.32491	29.1380791428571	733.72487	0.223094925714286
729.32994	32.1537871428571	733.72988	-0.273854251428571
729.33496	32.5092751428571	733.73488	0.0141572685714286
729.33999	30.423084	733.73989	0.591937931428571
729.34501	23.2786877142857	733.74489	0.97166192
729.35004	20.1778197142857	733.7499	0.120078045714286
729.35506	21.1227991428571	733.7549	-0.189475702857143
729.36008	23.6600325714286	733.7599	-0.316879737142857
729.36511	25.0483074285714	733.76491	0.581732582857143
729.37013	27.3027725714286	733.76991	0.332627222857143
729.37488	28.6345562857143	733.77492	0.167099737142857
729.3799	26.4816248571429	733.77992	-0.173321062857143
729.38493	21.7277534285714	733.78493	0.0540265142857143
729.38995	21.6045745714286	733.78993	0.16297184
729.39498	25.5385694285714	733.79493	0.255547108571429
729.4	31.8791057142857	733.79994	0.205448685714286
729.40502	27.944758	733.80494	0.303449702857143
729.41005	24.7445134285714	733.80995	0.204589862857143
729.41507	22.4977662857143	733.81495	0.0619710628571428
729.4201	29.5698077142857	733.81996	-0.0166537257142858
729.42512	28.6943268571428	733.82496	0.413785828571429
729.42987	29.3151685714286	733.82996	0.145739017142857
729.43489	26.6281408571428	733.83497	0.0357733828571429
729.43991	27.064	733.83997	0.0577751771428572
729.44494	23.5299145714286	733.84498	0.0238136342857143
729.44996	26.0667677142857	733.84998	0.281973645714286
729.45499	25.4514248571429	733.85498	0.611893794285714
729.46001	25.1812577142857	733.85999	1.11569130285714
729.46503	22.9275168571429	733.86499	1.56625756571429
729.47006	25.0052257142857	733.87	5.2428236
729.47508	24.5268017142857	733.875	7.69034805714286
729.48011	27.0211802857143	733.88	11.0911928342857
729.48513	28.7037748571429	733.88501	16.0700640114286
729.48987	30.2946274285714	733.89001	30.5002198057143
729.4949	26.766622	733.89502	48.5517901142857
729.49992	22.8462837142857	733.90002	68.8041899085714
729.50495	24.83931	733.90502	82.1211871657143
729.50997	28.0838662857143	733.91003	87.7205005828571
729.51499	27.8080465714286	733.91503	84.7749567885714
729.52002	24.8637317142857	733.92003	83.8949857485714
729.52504	24.7886422857143	733.92504	78.55759112
729.53006	25.8978628571429	733.93004	68.3902078742857
