	NH3		He		Ne		Ar
8.66E-4	0.0188106123083952	7.66E-4	0.0124022123840919	9.66E-4	0.0341537282276336	0.001166	0.0386930499578895
8.64E-4	0.01875190013891	7.64E-4	0.0125370784804353	9.64E-4	0.0378699198621088	0.001164	0.0424419820426334
8.62E-4	0.0188161706954468	7.62E-4	0.0122744826694021	9.62E-4	0.0396341928241207	0.001162	0.0432179583284192
8.6E-4	0.0188268738458934	7.6E-4	0.011802799115296	9.6E-4	0.0410097371367259	0.00116	0.0488719865247219
8.58E-4	0.0178935165468748	7.58E-4	0.011047333204586	9.58E-4	0.0433252620086817	0.001158	0.0528474237699161
8.56E-4	0.0176233344706154	7.56E-4	0.011746526535899	9.56E-4	0.0455773424314009	0.001156	0.0546553970399656
8.54E-4	0.0172077145781101	7.54E-4	0.0122417632904331	9.54E-4	0.0469790974933712	0.001154	0.057985447395742
8.52E-4	0.0172744509679905	7.52E-4	0.0119407014855188	9.52E-4	0.050120579174762	0.001152	0.0605279810159517
8.5E-4	0.0172548906541626	7.5E-4	0.0114770137561068	9.5E-4	0.0531147554363458	0.00115	0.0646228052186475
8.48E-4	0.0164716946514286	7.48E-4	0.0113549227707346	9.48E-4	0.0548850162876266	0.001148	0.0639000000255873
8.46E-4	0.0161285461016995	7.46E-4	0.0115550277862977	9.46E-4	0.0566884551425603	0.001146	0.0643818281085978
8.44E-4	0.0154004875466146	7.44E-4	0.0125598100205376	9.44E-4	0.0584685556429174	0.001144	0.0648944611617926
8.42E-4	0.0158995637699272	7.42E-4	0.0136160700706381	9.42E-4	0.0584953324421009	0.001142	0.0648075728852447
8.4E-4	0.015682130101347	7.4E-4	0.0142628305482209	9.4E-4	0.0597245858358465	0.00114	0.0694993410158189
8.38E-4	0.0163204405716557	7.38E-4	0.0145214254880194	9.38E-4	0.0611575882758263	0.001138	0.0715826985863737
8.36E-4	0.0163594679081279	7.36E-4	0.0143134953528144	9.36E-4	0.063824198352317	0.001136	0.0714002447133472
8.34E-4	0.0158346600117421	7.34E-4	0.0137258520836371	9.34E-4	0.0642947076597533	0.001134	0.0709404717974567
8.32E-4	0.015713272270394	7.32E-4	0.0145367962262279	9.32E-4	0.065144378129466	0.001132	0.0751841474010111
8.3E-4	0.0157530235464684	7.3E-4	0.0142993955706278	9.3E-4	0.0651896896097118	0.00113	0.0782553285530398
8.28E-4	0.0163022472192009	7.28E-4	0.0149212017007054	9.28E-4	0.0645394351033926	0.001128	0.0752223536953228
8.26E-4	0.0170771438416413	7.26E-4	0.0145335610240591	9.26E-4	0.0638939823766476	0.001126	0.0772628623942679
8.24E-4	0.0174954982461062	7.24E-4	0.0153901316684997	9.24E-4	0.0627313270667378	0.001124	0.0780395459619761
8.22E-4	0.0178373640911314	7.22E-4	0.0158026087923598	9.22E-4	0.0622086819195876	0.001122	0.0780999590621485
8.2E-4	0.0179164500735854	7.2E-4	0.0157272158813578	9.2E-4	0.0623420196976817	0.00112	0.0753223234882344
8.18E-4	0.0191170404653828	7.18E-4	0.01568830104699	9.18E-4	0.0612878164589665	0.001118	0.0720530485569565
8.16E-4	0.0195364742979686	7.16E-4	0.0155439924575281	9.16E-4	0.0611819275472047	0.001116	0.0670725993537788
8.14E-4	0.0197380066312286	7.14E-4	0.0155764086643213	9.14E-4	0.0631059390406301	0.001114	0.0661589316032705
8.12E-4	0.0197557246896411	7.12E-4	0.0152147716022416	9.12E-4	0.0638154224249676	0.001112	0.0648367219858267
8.1E-4	0.0201413069807419	7.1E-4	0.0158016969997689	9.1E-4	0.0640221684309042	0.00111	0.0634533822060954
8.08E-4	0.0209435131739129	7.08E-4	0.016822828225978	9.08E-4	0.0644059056668698	0.001108	0.0637597884691941
8.06E-4	0.0218173177007641	7.06E-4	0.0164884944129388	9.06E-4	0.0652560579603117	0.001106	0.0650955491438626
8.04E-4	0.0217900387688227	7.04E-4	0.015710344304327	9.04E-4	0.0651209108996126	0.001104	0.067318931258875
8.02E-4	0.0223405042945409	7.02E-4	0.0156037123685796	9.02E-4	0.0658092522296517	0.001102	0.0693520002441395
8E-4	0.0228927299794315	7E-4	0.015431456858225	9E-4	0.0668448397395524	0.0011	0.0657741063487055
7.98E-4	0.0237257662580809	6.98E-4	0.014919409525261	8.98E-4	0.0668689794719444	0.001098	0.0672311996916725
7.96E-4	0.0242638491956034	6.96E-4	0.0148504173709374	8.96E-4	0.0668125921849119	0.001096	0.06889122005934
7.94E-4	0.0238661926682262	6.94E-4	0.0139130049101951	8.94E-4	0.0655539393801155	0.001094	0.0667881469824638
7.92E-4	0.0239585817773766	6.92E-4	0.0130256586483275	8.92E-4	0.0667616905001133	0.001092	0.0673423158015389
7.9E-4	0.0240486637464008	6.9E-4	0.0119320151019905	8.9E-4	0.0639477180766529	0.00109	0.0642984862046719
7.88E-4	0.0235588826640376	6.88E-4	0.011793108530839	8.88E-4	0.0633333412715505	0.001088	0.0629240286719927
7.86E-4	0.0232438591482018	6.86E-4	0.0118675819106203	8.86E-4	0.0629870785493636	0.001086	0.0646594589295563
7.84E-4	0.0237847757809433	6.84E-4	0.0127165331919097	8.84E-4	0.063483017125648	0.001084	0.0645870675558337
7.82E-4	0.0241943902743177	6.82E-4	0.0120915583208302	8.82E-4	0.062505832102822	0.001082	0.0672353139555252
7.8E-4	0.0236470108210269	6.8E-4	0.0125082361546425	8.8E-4	0.0608478999868156	0.00108	0.0632320929984356
7.78E-4	0.0237453271611165	6.78E-4	0.0141162035565366	8.78E-4	0.0595872509431871	0.001078	0.0621781695434786
